,strategy
1990-09-14,0.8498519395563617
1990-09-17,0.8516122395700989
1990-09-18,0.8532731593525767
1990-09-19,0.8490684890892468
1990-09-20,0.8375508509532443
1990-09-21,0.8372093380899178
1990-09-24,0.8241328682515152
1990-09-25,0.8310653741093418
1990-09-26,0.8242884797442859
1990-09-27,0.8152212552242445
1990-09-28,0.8261358369098197
1990-10-01,0.846643880685293
1990-10-02,0.8472790111397814
1990-10-03,0.8377974125458302
1990-10-04,0.8408694296813809
1990-10-05,0.8379560284403325
1990-10-09,0.8226623635991662
1990-10-10,0.8133842623531388
1990-10-11,0.8039295624054431
1990-10-12,0.8113496452113137
1990-10-15,0.8171941046385583
1990-10-16,0.8091998788265066
1990-10-17,0.8088981569243984
1990-10-18,0.8221298590566039
1990-10-19,0.8363821678773794
1990-10-22,0.8417993588577537
1990-10-23,0.8358524161877038
1990-10-24,0.8364346120833316
1990-10-25,0.8308330594982232
1990-10-26,0.8188839835523752
1990-10-29,0.8133422077592831
1990-10-30,0.8174102914343971
1990-10-31,0.8192459568450691
1990-11-01,0.8255951546548387
1990-11-02,0.8355875830342909
1990-11-05,0.8413189361216249
1990-11-06,0.8350433204358576
1990-11-07,0.8225541495312916
1990-11-08,0.8257313267019912
1990-11-09,0.8379507979708163
1990-11-13,0.848117419305994
1990-11-14,0.8566073435885347
1990-11-15,0.8444594791936203
1990-11-16,0.844821128951239
1990-11-19,0.8539546094056235
1990-11-20,0.836658357090202
1990-11-21,0.8399781983478843
1990-11-23,0.8360559699051204
1990-11-26,0.8420295562523328
1990-11-27,0.8477720883193006
1990-11-28,0.8472276259912472
1990-11-29,0.8417773551027141
1990-11-30,0.8640655173182438
1990-12-03,0.8681852922711655
1990-12-04,0.8764399998663128
1990-12-05,0.8898860799490727
1990-12-06,0.8863154087682369
1990-12-07,0.8815775681037958
1990-12-10,0.885663693867385
1990-12-11,0.8775790352697573
1990-12-12,0.8897465852288432
1990-12-13,0.8862930322618553
1990-12-14,0.877595656635886
1990-12-17,0.8750202568717113
1990-12-18,0.8869465951177882
1990-12-19,0.88745575044693
1990-12-20,0.8871758362418365
1990-12-21,0.892746954776802
1990-12-24,0.8861384394190881
1990-12-26,0.8891446911438159
1990-12-27,0.8811283668308573
1990-12-28,0.882403314959606
1990-12-31,0.8897083617592659
1991-01-02,0.8802355364557956
1991-01-03,0.8690239417753526
1991-01-04,0.8669801182454449
1991-01-07,0.8537973993652468
1991-01-08,0.852665557418159
1991-01-09,0.8461727855620023
1991-01-10,0.8510061115104849
1991-01-11,0.8522583873377608
1991-01-14,0.8477428634847676
1991-01-15,0.8494089003389744
1991-01-16,0.8526878804175428
1991-01-17,0.8714257185096036
1991-01-18,0.8811748704334149
1991-01-22,0.870707967341447
1991-01-23,0.8759817088099133
1991-01-24,0.8897306495555322
1991-01-25,0.893984095042007
1991-01-28,0.8938382373745778
1991-01-29,0.8932168777548339
1991-01-30,0.9095145490971598
1991-01-31,0.9249638558120503
1991-02-01,0.9180518947241649
1991-02-04,0.9388939208235475
1991-02-05,0.9496255667068054
1991-02-06,0.9756826729571304
1991-02-07,0.9703238977312936
1991-02-08,0.9793372155281077
1991-02-11,1.0093370555203505
1991-02-12,0.9985263861687046
1991-02-13,1.0111735314122587
1991-02-14,0.9914557203369645
1991-02-15,1.0100654912026699
1991-02-19,1.0115888298079636
1991-02-20,0.9922969969814407
1991-02-21,0.9916827347559818
1991-02-22,0.9944623630424932
1991-02-25,1.0009204789466786
1991-02-26,0.9857839737386396
1991-02-27,1.006800168674304
1991-02-28,1.0081875129350548
1991-03-01,1.0180705945434227
1991-03-04,1.0140192486908912
1991-03-05,1.041149936642052
1991-03-06,1.0390263571923175
1991-03-07,1.0380286761556263
1991-03-08,1.034540252148907
1991-03-11,1.0271538580652264
1991-03-12,1.0163747894266215
1991-03-13,1.0368523364394542
1991-03-14,1.030167673434715
1991-03-15,1.0307815275097458
1991-03-18,1.0200428322671078
1991-03-19,0.9846934988465162
1991-03-20,0.9926802558963871
1991-03-21,0.984476316878093
1991-03-22,0.98940431349407
1991-03-25,1.002923643960343
1991-03-26,1.0392553741034045
1991-03-27,1.0334904013799284
1991-03-28,1.0327063658808604
1991-04-01,1.0085225975429362
1991-04-02,1.049754445260132
1991-04-03,1.0468609129475042
1991-04-04,1.0509991200678577
1991-04-05,1.029837532183763
1991-04-08,1.0461915186390052
1991-04-09,1.020047608226017
1991-04-10,1.0184853468597668
1991-04-11,1.0361298081402865
1991-04-12,1.050482218301656
1991-04-15,1.054070263267953
1991-04-16,1.090751107779054
1991-04-17,1.1086063718743695
1991-04-18,1.0953076352535875
1991-04-19,1.069750330082906
1991-04-22,1.0490377408523395
1991-04-23,1.0534687233249331
1991-04-24,1.0588023908714848
1991-04-25,1.0392616939425778
1991-04-26,1.0380382546445732
1991-04-29,1.010358840929236
1991-04-30,1.0225153693487867
1991-05-01,1.040002623942199
1991-05-02,1.0410594313336727
1991-05-03,1.042386302665818
1991-05-06,1.0388017089836288
1991-05-07,1.0261498142075312
1991-05-08,1.0318453977349538
1991-05-09,1.0538212132071405
1991-05-10,1.016118823736289
1991-05-13,1.020927282118079
1991-05-14,0.996885597195836
1991-05-15,0.9832866361170053
1991-05-16,0.998655000620959
1991-05-17,0.999610133799754
1991-05-20,0.9990173270858341
1991-05-21,1.0141580933936372
1991-05-22,1.018864159432247
1991-05-23,1.0119793287926413
1991-05-24,1.0261120604166698
1991-05-28,1.0541412369690684
1991-05-29,1.0592560152932728
1991-05-30,1.0837882064741537
