,tecl
2015-06-15,0.026204857335868553
2015-06-16,0.026722767492939663
2015-06-17,0.02675918164916326
2015-06-18,0.027472305938929464
2015-06-19,0.026785234066427344
2015-06-22,0.027445222492889908
2015-06-23,0.027501632538456094
2015-06-24,0.027116007908387783
2015-06-25,0.026924425255902787
2015-06-26,0.026241004319000786
2015-06-29,0.024563338947201953
2015-06-30,0.02463357052456125
2015-07-01,0.025124321086386427
2015-07-02,0.025231741084962477
2015-07-06,0.02492236927483645
2015-07-07,0.025029225490839236
2015-07-08,0.023801636227732317
2015-07-09,0.02352163268090307
2015-07-10,0.024645104100694443
2015-07-13,0.025768073689120687
2015-07-14,0.02606098475734572
2015-07-15,0.0260783931279974
2015-07-16,0.02707743117284652
2015-07-17,0.028329504616403028
2015-07-20,0.028778262617684534
2015-07-21,0.028203713668422392
2015-07-22,0.026837198124750883
2015-07-23,0.0266662801172952
2015-07-24,0.026233107893764325
2015-07-27,0.025526013207066798
2015-07-28,0.026218087414539463
2015-07-29,0.026736885408164025
2015-07-30,0.026886229822822138
2015-07-31,0.026620756956558984
2015-08-01,0.02661143969162419
2015-08-03,0.02617904154570478
2015-08-04,0.025714314591707293
2015-08-05,0.026464511883418876
2015-08-06,0.025678958074577603
2015-08-07,0.025732784521222806
2015-08-10,0.026941343110776537
2015-08-11,0.025731023943767986
2015-08-12,0.026078002506120464
2015-08-13,0.025855103373043545
2015-08-14,0.026239873074033266
2015-08-17,0.026684139005969772
2015-08-18,0.026270150862872155
2015-08-19,0.025749084836774887
2015-08-20,0.023860766128035237
2015-08-21,0.021127356145464595
2015-08-24,0.018627048873879837
2015-08-25,0.01818510854574816
2015-08-26,0.0209337739072067
2015-08-27,0.022391902149302503
2015-08-28,0.022523584390501433
2015-08-31,0.021906829988818526
2015-09-01,0.019790871158740352
2015-09-02,0.021223257247459028
2015-09-03,0.021270259448400268
2015-09-04,0.020294024507642863
2015-09-08,0.02199723150903295
2015-09-09,0.02113057190294928
2015-09-10,0.02176565979871762
2015-09-11,0.02207279830002445
2015-09-14,0.02190818900384174
2015-09-15,0.022754060523452718
2015-09-16,0.023036945245699016
2015-09-17,0.022564563539229428
2015-09-18,0.021684620560757213
2015-09-21,0.022333271313210806
2015-09-22,0.02120627026203917
2015-09-23,0.021365307768593366
