"","V1"
"119",0.00369539884838953
"120",0.00369429788224104
"121",-0.0695065827276381
"122",0.00416346865283984
"123",0.00416178630207925
"124",0.00416011569976317
"125",0.00415845672325457
"126",0.00415680925161733
"127",0.00415517316558696
"128",0.00415354834754171
"129",0.00415193468147445
"130",0.00415033205296505
"131",0.00414874034915329
"132",0.00414715945871243
"133",0.0908861260886992
"134",0.0034863111169007
"135",0.00348578135303692
"136",0.00348525395911664
"137",0.00348472891927211
"138",0.00348420621777697
"139",0.0034836858390446
"140",0.0034831677676266
"141",0.00348265198821128
"142",0.0034821384856221
"143",0.00348162724481625
"144",0.00348111825088311
"145",-0.0294084870779212
"146",0.00845804400319878
"147",0.0229102504583432
"148",0.0131442895683144
"149",-0.00290076668978608
"150",-0.0106886311528974
"151",0.002022960912244
"152",0.0131665782089048
"153",0.00831998016638815
"154",0.00829045738599711
"155",0.00347899825382317
"156",-0.0233057495370821
"157",0.00343507632015471
"158",-0.00130634309214462
"159",0.00188506885494297
"160",-0.00438724108106227
"161",0.00196354930186483
"162",0.00512729131316265
"163",-0.00117019051275286
"164",0.0082973616829089
"165",-0.00584050579528001
"166",-0.00108094134740797
"167",-0.00258756915409602
"168",-0.000977869804066124
"169",0.0278573776615682
"170",0.0036725940489002
"171",0.00523206433926779
"172",-0.00252997612424247
"173",0.000611317151797583
"174",0.00372705806272254
"175",0.0130597949669883
"176",0.00676566116303545
"177",0.000540322020080104
"178",0.00056826250618169
"179",0.00367862327388575
"180",0.00832430449015456
"181",-0.00097671357880229
"182",0.002090599210935
"183",0.00364580970906212
"184",0.00363886255440923
"185",0.00517727159806254
"186",0.00209268738167788
"187",0.00210693433192743
"188",0.00518733482636125
"189",-0.00246907166721728
"190",-0.00392141950750395
"191",-0.00233127205519945
"192",-0.00527535407811893
"193",-0.0111216234377195
"194",0.000915749340913631
"195",-0.0240041352684062
"196",-0.0105347972585739
"197",0.028216713292974
"198",-0.00331346623125159
"199",-0.000295755922214574
"200",-0.0118946866266832
"201",-0.0116653975103592
"202",-0.00571975516062456
"203",0.0235510622475417
"204",0.00724972753625685
"205",0.00430454290719912
"206",0.0478463798917073
"207",-0.000462061898409299
"208",-0.00919019567141431
"209",0.0129575486919763
"210",-0.0332870641441076
"211",-0.00863649792789416
"212",-0.0084655876032211
"213",-0.00122337873587481
"214",-0.00116763000792823
"215",-0.0233696054638974
"216",-0.0361960050066343
"217",0.00647330416528401
"218",0.0175909282095878
"219",0.0303924738147587
"220",-0.0240420252686313
"221",0.000843449416351812
"222",0.0147321320801138
"223",0.0118857796687668
"224",0.0245610531777992
"225",0.0231220145965248
"226",-0.00241022413467089
"227",-0.0174234246464897
"228",-0.0116405399377904
"229",-0.0377173616839542
"230",-0.00943047911505389
"231",-0.0144175709595789
"232",-0.00501246683773115
"233",0.00557495576533392
"234",0.0202154056415927
"235",-0.0356127158860085
"236",0.0255278985310848
"237",0.0122009021167483
"238",-0.0351085200644887
"239",-0.0279055748710526
"240",0.0163207346931407
"241",-0.0151294096179191
"242",0.00248186714097523
"243",0.00377113768759116
"244",0.0368854094799109
"245",-0.0102106777504618
"246",-0.0409611047676776
"247",-0.0197992616692814
"248",0.0502800535286402
"249",0.0113361961904981
"250",0.0150381498421858
"251",0.0212857047127135
"252",0.00366577335632296
"253",0.0727054386079352
"254",-0.00200493891666895
"255",0.0464625332478639
"256",-0.00748469227784136
"257",0.0371830256091679
"258",-0.0353686008449707
"259",-0.00209460314157228
"260",-0.00201083231941212
"261",0.00693773066252814
"262",0.0502829783058252
"263",0.0210416181825424
"264",0.0183511540491856
"265",-0.0117786896555358
"266",0.00389233824114638
"267",-0.00510669587102347
"268",0.00917225194021019
"269",-0.00756229981461577
"270",0.0105083893452574
"271",0.0195979165249797
"272",1.43680174247993e-05
"273",0.0143119640907605
"274",-0.00385676615235145
"275",7.78350029014361e-05
"276",0.0261163701683676
"277",0.00119804397537825
"278",-0.0930175600244301
"279",-0.00623797462670155
"280",0.00237280634146689
"281",0.00847393207602591
"282",-0.00602067171814959
"283",-0.0022875334138718
"284",-0.0208644612265918
"285",-0.0325628267157859
"286",0.0399004898221072
"287",0.0267309541932001
"288",-0.00781219518544762
"289",0.00756002789885446
"290",-0.0155972909651896
"291",0.00654047244025159
"292",-0.0218097557482389
"293",-0.0243686986387563
"294",-0.0127824880837274
"295",0.01385172371562
"296",-0.00711407089259544
"297",-0.0289688631595297
"298",0.00328089061299878
"299",0.0238189853075908
"300",0.0486232131010795
"301",0.0249796983707784
"302",0.0102826723987969
"303",0.019267937225791
"304",-0.0119696481386614
"305",-0.0327118621006845
"306",-0.00129084177373099
"307",0.0336438126839925
"308",0.0103852903593215
"309",-0.0278577267193989
"310",-3.02933096115524e-05
"311",0.00322235125560126
"312",0.0433299592910482
"313",0.00074113364018937
"314",0.0402486144791836
"315",0.00802988035482742
"316",0.00802264450921728
"317",0.0201514806830355
"318",-0.0179912898069669
"319",0.00053040630551269
"320",0.025625753663831
"321",0.00470957529276484
"322",0.0323805432573122
"323",0.013318611956198
"324",0.00993630404800635
"325",0.0383392748910357
"326",0.0018329566026265
"327",-0.0113479487977687
"328",-0.00746593755505848
