Date,spy_simulation
1885-10-31,2.4459608134693527
1885-11-30,2.455520443648662
1885-12-31,2.4649741973567094
1886-01-31,2.474382182209954
1886-02-28,2.483599255838686
1886-03-31,2.4929748430294776
1886-04-30,2.5024481474329896
1886-05-31,2.5120825728006064
1886-06-30,2.5212516741913285
1886-07-31,2.530244138495944
1886-08-31,2.5391421637163214
1886-09-30,2.547775247072957
1886-10-31,2.5561616739279054
1886-11-30,2.564320089937192
1886-12-31,2.5726541302294876
1887-01-31,2.581208205212501
1887-02-28,2.58994129297347
1887-03-31,2.598596013460823
1887-04-30,2.6071930352720223
1887-05-31,2.6157533190711653
1887-06-30,2.624690476244658
1887-07-31,2.6339862550146917
1887-08-31,2.6436442046164124
1887-09-30,2.6535799007520957
1887-10-31,2.6639952018625475
1887-11-30,2.674362583189796
