,spxl_simulation
1934-09-17,123.01485460877872
1934-09-18,126.06706901813655
1934-09-19,135.82774533987313
1934-09-20,137.22095315707236
1934-09-21,145.66460162502392
1934-09-24,143.21742280851947
1934-09-25,155.28053277000367
1934-09-26,152.2195734428176
1934-09-27,156.73480999580698
1934-09-28,151.6064384287509
1934-09-30,153.51056735662124
1934-10-01,140.72092114801467
1934-10-02,142.14954938898984
1934-10-03,140.69986141057078
1934-10-04,140.21615995182475
1934-10-05,148.79516982249436
1934-10-08,144.82129977057886
1934-10-09,140.43185676003873
1934-10-10,151.87703730775726
1934-10-11,157.89910972900478
1934-10-15,148.09921907592013
1934-10-16,152.5362248496421
1934-10-17,153.53691493583418
1934-10-18,151.50828475718262
1934-10-19,149.49765676380474
1934-10-22,148.99495962952196
1934-10-23,147.5023067794523
1934-10-24,154.87967907291565
1934-10-25,144.19792092770297
1934-10-26,137.89454983777563
1934-10-29,136.0086102277018
1934-10-30,137.4004756118336
1934-10-31,140.05376430859823
1934-11-01,138.0529280020172
1934-11-02,142.76981130826317
1934-11-05,150.00716868447805
1934-11-07,158.4826792827141
1934-11-08,154.85481405728808
1934-11-09,164.01760594164247
1934-11-13,160.3073700141576
1934-11-14,158.73777991104828
1934-11-15,148.3789162988452
1934-11-16,157.27566920188957
1934-11-19,153.157546242328
1934-11-20,155.17103146166306
1934-11-21,153.12751912389683
1934-11-22,155.14060959181006
1934-11-23,161.75414022191734
1934-11-26,174.83452345745303
1934-11-27,169.86893263598944
1934-11-28,175.80659612381703
1934-11-30,177.9443487416641
1934-12-01,177.84203074113765
1934-12-03,170.5645891283091
1934-12-04,174.36414871297157
1934-12-05,178.77140125801233
1934-12-06,177.64219763125055
1934-12-07,173.16604966796868
1934-12-10,167.66754449609311
1934-12-11,157.45026123387663
1934-12-12,157.95901789011126
1934-12-13,155.37161987779336
1934-12-14,154.34429375957222
1934-12-17,157.3876840127997
1934-12-18,156.8664390089878
1934-12-19,150.18130348154142
1934-12-20,149.6763075336631
1934-12-21,150.66590269302029
1934-12-24,154.159810668345
1934-12-26,151.61528909721375
1934-12-27,152.11121392517302
1934-12-28,169.21130389239545
1934-12-31,176.11555889982412
1935-01-01,176.0275011203742
1935-01-02,176.57628067878701
1935-01-03,177.68320772804475
1935-01-04,176.55736714673006
1935-01-07,180.4489921467416
1935-01-08,174.22583326499358
1935-01-09,173.6668793624598
1935-01-10,172.55839650840164
1935-01-11,162.1321296499574
1935-01-14,157.91892162569593
1935-01-15,147.06316337192334
1935-01-16,149.0268302812192
1935-01-17,155.97540749802312
1935-01-18,158.01693632771222
1935-01-21,163.17451785200174
1935-01-22,158.9479086404987
1935-01-23,158.9415004639448
1935-01-24,157.89851754271857
1935-01-25,160.47219280995085
1935-01-28,152.12047371647037
1935-01-29,147.58594742204647
1935-01-30,150.04524142726953
1935-01-31,155.351666075057
1935-02-01,152.710869095482
1935-02-04,149.6673691199685
1935-02-05,144.66687339365902
1935-02-06,140.75552358230266
1935-02-07,144.1049748414573
1935-02-08,151.40178204399018
1935-02-11,150.89268214499265
1935-02-13,150.38473836270447
1935-02-14,150.37867542068352
1935-02-15,152.87614228060048
1935-02-18,167.04392586104038
1935-02-19,158.98903639755366
1935-02-20,151.1975268480969
1935-02-21,150.68966943338646
1935-02-25,141.67225183955907
1935-02-26,137.34433585852526
1935-02-27,138.74987059980384
1935-02-28,138.11437362868705
1935-03-01,140.42739647786422
1935-03-04,137.0668142431193
1935-03-05,125.27228471064747
1935-03-06,124.37982723195118
1935-03-07,129.23224974910005
1935-03-08,128.3212060688788
1935-03-11,118.39893709377002
1935-03-12,111.5634557886312
1935-03-13,112.78943726520396
1935-03-14,107.41396443901188
1935-03-15,114.20629915920395
1935-03-18,110.45495107975184
1935-03-19,115.33548350668056
1935-03-20,114.91193960972868
1935-03-21,122.01095397222721
1935-03-22,127.65737367670874
1935-03-25,121.82925909369818
1935-03-26,118.78585043947936
1935-03-27,122.62204103976762
1935-03-28,123.05295771980754
1935-03-29,123.04799669147259
1935-03-31,124.6888028188959
1935-04-01,128.62115680010544
1935-04-02,126.80864823674045
